date,rainfall_mm,min_air_temperature_c,max_air_temperature_c,solar_radiation_mj_per_m2,wind_speed_m_per_s,uv_index
2024-02-14,0.0,10.8,24.6,25.72,2.47,9.65
2024-02-15,0.0,12.9,26.4,24.51,4.56,9.0
2024-02-16,0.1,15.0,25.8,22.12,3.57,8.4
2024-02-17,0.0,14.0,26.8,26.28,4.25,7.85
2024-02-18,0.0,14.2,25.4,22.02,4.97,8.05
2024-02-19,0.0,15.2,25.2,25.64,7.32,9.35
2024-02-20,0.7,14.0,24.5,24.08,6.08,9.4
2024-02-21,0.0,12.9,23.4,25.89,4.96,8.2
2024-02-22,6.5,17.4,22.6,13.58,7.75,6.7
2024-02-23,1.1,15.0,22.5,16.58,5.32,5.55
2024-02-24,0.0,12.1,26.4,23.88,5.92,9.15
2024-02-25,7.1,16.8,24.4,11.08,7.38,4.4
2024-02-26,14.8,16.2,19.9,4.98,4.47,2.45
2024-02-27,0.7,14.7,21.9,16.29,6.14,7.95
2024-02-28,0.4,11.6,24.1,23.5,6.09,8.2
2024-02-29,0.0,12.0,24.8,23.12,5.6,8.15
2024-03-01,0.0,11.9,23.3,25.15,6.57,9.2
2024-03-02,0.2,13.7,21.8,16.08,7.5,5.85
2024-03-03,12.1,17.0,21.5,8.94,7.78,4.7
2024-03-04,21.6,15.3,21.6,5.36,10.92,3.0
2024-03-05,0.7,13.8,17.8,19.37,9.04,5.9
2024-03-06,0.0,11.8,20.2,24.47,4.1,8.4
2024-03-07,0.1,8.3,19.4,14.04,5.62,4.4
2024-03-08,0.2,11.8,22.1,17.8,6.02,6.1
2024-03-09,0.0,11.3,20.7,21.26,6.42,8.2
2024-03-10,0.0,10.5,22.2,23.9,4.21,7.6
2024-03-11,0.0,11.6,19.7,17.07,8.41,5.0
2024-03-12,1.0,16.0,21.5,12.08,3.47,6.45
2024-03-13,0.0,15.6,22.8,17.49,7.24,6.1
2024-03-14,3.4,17.0,20.6,13.93,3.58,4.05
2024-03-15,19.3,13.8,18.1,6.41,7.62,1.55
2024-03-16,0.0,9.6,18.6,22.47,5.41,6.55
2024-03-17,0.1,7.5,18.8,14.97,4.29,4.4
2024-03-18,0.2,11.0,19.6,18.1,6.95,5.55
2024-03-19,0.0,9.2,18.7,19.49,5.06,6.95
2024-03-20,0.0,5.7,19.3,21.43,3.55,7.45
2024-03-21,0.0,5.7,18.7,21.64,3.4,7.5
2024-03-22,0.0,7.5,19.4,17.56,3.18,5.7
2024-03-23,7.6,11.9,18.3,6.46,6.37,2.95
2024-03-24,0.8,12.1,21.4,14.65,4.53,5.15
2024-03-25,0.7,11.6,20.4,16.39,6.87,5.7
2024-03-26,1.1,14.9,21.5,16.77,7.52,5.05
2024-03-27,4.8,13.5,20.7,11.81,8.7,5.3
2024-03-28,1.5,11.0,18.9,14.9,7.96,5.25
2024-03-29,2.1,9.1,16.8,17.68,7.85,4.75
2024-03-30,0.3,7.9,19.1,18.24,7.9,4.8
2024-03-31,0.0,5.7,19.2,19.53,5.25,6.25
2024-04-01,0.0,6.9,18.1,16.36,2.65,6.1
2024-04-02,0.0,7.7,20.5,16.66,2.28,5.3
2024-04-03,0.0,10.3,21.0,15.33,2.22,4.55
2024-04-04,0.1,12.4,21.2,12.93,5.12,4.4
2024-04-05,7.7,15.0,19.3,15.9,4.4,5.05
2024-04-06,0.1,11.7,20.8,14.63,3.61,4.4
2024-04-07,0.1,13.3,19.1,12.09,3.45,4.3
2024-04-08,0.3,13.2,20.0,13.86,4.3,4.15
2024-04-09,0.4,10.5,21.4,11.72,6.04,4.2
2024-04-10,0.2,15.6,22.7,14.34,7.82,4.75
2024-04-11,0.1,18.1,21.5,4.91,10.04,1.6
2024-04-12,25.1,14.8,20.6,6.11,13.59,1.65
2024-04-13,1.2,13.1,18.7,11.22,9.63,3.65
2024-04-14,0.3,11.5,19.0,14.19,5.46,4.35
2024-04-15,0.5,10.7,19.0,13.05,4.57,4.0
2024-04-16,0.9,12.4,19.1,13.1,6.58,4.1
2024-04-17,1.8,11.7,19.1,12.92,6.77,3.4
2024-04-18,0.2,10.8,18.1,10.63,5.74,3.5
2024-04-19,6.8,12.8,19.6,9.84,3.9,3.05
2024-04-20,24.1,14.8,17.9,2.85,5.55,0.85
2024-04-21,5.0,11.7,18.8,9.62,6.22,3.15
2024-04-22,0.0,10.8,18.5,10.85,7.53,3.0
2024-04-23,0.0,8.1,18.8,14.16,2.95,4.35
2024-04-24,0.0,6.2,17.5,12.69,5.42,3.5
2024-04-25,0.3,7.8,17.0,6.28,3.73,2.45
2024-04-26,11.1,9.3,18.2,8.94,6.65,3.1
2024-04-27,0.0,4.7,16.1,13.13,4.55,3.0
2024-04-28,0.0,5.3,16.8,14.19,2.91,3.5
2024-04-29,0.0,6.3,18.1,12.65,4.6,2.85
2024-04-30,0.0,6.9,18.0,13.4,3.42,3.65
2024-05-01,5.7,6.0,18.1,10.96,6.55,2.75
2024-05-02,0.6,10.0,15.9,10.97,7.16,2.7
2024-05-03,0.0,8.1,17.1,9.94,4.22,2.15
2024-05-04,0.0,4.7,16.3,13.19,2.92,3.2
2024-05-05,0.0,3.8,17.7,12.68,3.88,2.05
2024-05-06,4.5,7.5,16.6,8.34,4.03,2.4
2024-05-07,0.0,6.5,14.5,8.43,5.1,1.95
2024-05-08,0.0,5.1,14.5,12.79,4.64,2.95
2024-05-09,0.0,3.6,14.6,12.42,6.41,3.2
2024-05-10,0.0,1.7,12.9,12.88,5.15,3.35
2024-05-11,0.0,3.8,13.2,12.26,3.48,3.05
2024-05-12,0.0,1.5,13.1,11.74,2.47,2.75
2024-05-13,0.0,7.1,15.2,10.56,2.3,2.2
2024-05-14,0.3,4.9,14.6,6.48,4.66,2.35
2024-05-15,16.8,12.2,17.8,5.77,6.36,2.1
2024-05-16,8.3,11.5,17.6,8.35,7.4,2.3
2024-05-17,0.1,7.3,16.0,9.73,3.21,2.2
2024-05-18,0.0,5.7,14.7,9.24,2.72,2.2
2024-05-19,0.0,3.6,15.2,11.02,2.65,2.1
2024-05-20,6.6,4.3,16.4,6.64,6.23,1.65
2024-05-21,28.7,11.7,17.5,8.01,9.28,1.05
2024-05-22,0.3,9.4,17.7,9.67,4.12,2.1
2024-05-23,1.5,6.7,15.6,7.42,3.5,2.05
2024-05-24,0.4,5.5,14.5,7.86,3.18,1.9
2024-05-25,0.1,5.8,14.4,7.89,6.09,1.7
2024-05-26,0.8,11.4,15.4,8.15,9.0,1.9
2024-05-27,0.0,9.0,14.7,6.47,5.86,1.5
2024-05-28,3.3,7.6,14.7,8.02,5.73,1.9
2024-05-29,1.1,6.9,11.8,6.57,11.6,1.8
2024-05-30,0.1,2.9,15.2,8.93,8.28,2.05
2024-05-31,0.0,9.6,16.7,8.62,7.69,2.0
2024-06-01,0.0,6.9,16.4,7.23,4.92,1.85
2024-06-02,0.3,8.9,18.2,5.55,6.02,1.55
2024-06-03,0.0,7.4,17.2,7.32,5.72,1.7
2024-06-04,0.0,4.8,14.0,9.42,3.07,1.85
2024-06-05,0.0,4.2,14.3,9.44,3.4,1.95
2024-06-06,0.2,4.4,15.4,8.39,2.83,1.85
2024-06-07,0.0,5.6,16.3,8.85,2.64,1.85
2024-06-08,0.0,8.9,16.7,9.13,3.49,1.75
2024-06-09,10.8,11.7,17.1,4.74,7.79,1.15
2024-06-10,12.1,12.2,18.5,6.07,9.66,1.5
2024-06-11,0.1,6.7,14.9,7.54,5.02,1.6
2024-06-12,0.0,5.7,13.2,6.99,1.8,1.2
2024-06-13,0.0,5.4,14.2,6.45,5.11,1.45
2024-06-14,34.1,13.1,17.0,2.38,7.85,0.65
2024-06-15,2.8,9.0,14.6,8.36,9.17,1.6
2024-06-16,3.1,8.8,16.3,7.74,5.43,1.45
2024-06-17,7.6,8.8,16.8,6.41,6.23,1.4
2024-06-18,3.2,8.8,17.3,8.41,3.83,1.5
2024-06-19,0.0,8.3,14.5,6.35,5.35,1.45
2024-06-20,0.0,7.7,14.0,8.11,6.24,1.35
2024-06-21,0.0,5.1,14.3,8.89,4.03,1.65
2024-06-22,1.4,4.8,14.6,7.16,5.34,1.15
2024-06-23,24.2,8.2,15.2,4.49,6.93,1.1
2024-06-24,0.0,6.9,13.0,6.42,1.77,1.2
2024-06-25,0.4,6.6,15.2,6.48,6.44,1.45
2024-06-26,0.0,9.1,15.4,8.56,6.77,1.9
2024-06-27,0.0,5.7,15.0,9.44,4.63,2.05
2024-06-28,0.0,3.6,13.8,9.41,3.31,1.85
2024-06-29,0.6,3.3,11.5,6.74,2.0,1.5
2024-06-30,0.0,4.0,10.9,6.14,2.27,1.45
