date,rainfall_mm,min_air_temperature_c,max_air_temperature_c,solar_radiation_mj_per_m2,wind_speed_m_per_s
2015-09-01,33.9,10.1,15.0,4.65,10.97
2015-09-02,11.9,8.7,15.5,10.62,6.76
2015-09-03,5.4,7.9,13.2,11.04,9.34
2015-09-04,1.2,5.7,12.3,7.04,5.19
2015-09-05,3.0,5.4,13.7,13.71,6.57
2015-09-06,3.8,8.1,12.2,14.81,8.74
2015-09-07,0.0,4.6,13.4,15.46,5.25
2015-09-08,0.0,3.8,13.4,13.07,6.42
2015-09-09,0.0,4.5,13.7,10.42,4.67
2015-09-10,10.5,7.2,13.7,4.77,7.98
2015-09-11,4.4,7.1,11.9,16.3,8.63
2015-09-12,2.2,3.9,11.6,19.82,7.31
2015-09-13,0.0,5.3,14.6,12.16,7.72
2015-09-14,0.2,3.5,14.9,14.22,2.72
2015-09-15,0.0,6.1,12.9,9.22,7.52
2015-09-16,0.1,9.6,13.8,11.5,6.36
2015-09-17,0.4,8.8,16.6,13.97,6.09
2015-09-18,7.8,8.9,16.4,10.27,5.22
2015-09-19,4.0,8.0,14.9,15.79,2.51
2015-09-20,34.7,8.7,12.8,8.82,6.45
2015-09-21,11.7,6.4,10.9,6.09,7.29
2015-09-22,3.3,4.2,13.4,13.77,4.22
2015-09-23,2.3,5.2,13.8,13.99,6.58
2015-09-24,10.6,9.5,17.4,15.95,5.82
2015-09-25,0.1,8.7,15.7,18.87,4.94
2015-09-26,0.0,5.0,16.2,18.41,4.48
2015-09-27,0.3,5.6,15.3,19.7,2.78
2015-09-28,6.2,6.8,14.4,17.34,3.06
2015-09-29,0.0,2.2,16.1,20.91,2.34
2015-09-30,0.6,3.8,16.0,17.61,3.11
2015-10-01,0.1,7.2,16.4,16.71,4.88
2015-10-02,25.7,11.2,15.9,10.83,7.7
2015-10-03,1.7,10.0,17.9,17.2,5.42
2015-10-04,0.0,6.9,15.7,14.47,7.57
2015-10-05,0.0,8.1,16.1,21.38,8.81
2015-10-06,0.0,6.1,15.8,23.43,6.89
2015-10-07,0.0,6.5,16.5,20.71,6.14
2015-10-08,0.0,8.0,15.0,17.14,9.34
2015-10-09,0.0,3.9,15.1,23.68,4.96
2015-10-10,0.0,5.8,14.1,13.73,6.1
2015-10-11,0.0,7.6,15.6,16.89,7.55
2015-10-12,0.2,11.3,16.3,19.97,7.98
2015-10-13,4.7,11.2,17.1,17.83,8.22
2015-10-14,4.6,9.4,17.7,17.63,5.28
2015-10-15,0.0,6.1,15.9,19.69,5.71
2015-10-16,0.0,7.8,14.7,16.47,7.42
2015-10-17,0.0,11.3,15.2,16.46,8.91
2015-10-18,0.2,11.2,17.0,13.6,7.95
2015-10-19,0.0,10.1,14.3,17.88,11.15
2015-10-20,0.0,9.0,14.7,16.82,7.63
2015-10-21,0.0,8.9,15.5,14.37,7.42
2015-10-22,0.1,12.6,17.2,11.61,9.36
2015-10-23,0.7,13.4,19.0,20.66,7.5
2015-10-24,5.8,10.7,17.2,10.1,6.47
2015-10-25,0.0,9.5,17.2,26.49,5.99
2015-10-26,1.0,7.6,17.1,21.14,5.95
2015-10-27,0.0,9.9,17.3,23.01,8.05
2015-10-28,0.0,9.2,17.3,14.89,4.12
2015-10-29,4.6,10.6,18.1,14.57,3.96
2015-10-30,1.9,9.9,16.9,14.33,5.38
2015-10-31,0.0,9.5,15.7,19.43,5.73
2015-11-01,0.0,7.7,17.7,25.66,5.04
2015-11-02,0.0,6.4,15.3,15.36,4.84
2015-11-03,1.6,9.4,16.2,15.13,6.15
2015-11-04,20.9,7.6,13.9,15.18,9.66
2015-11-05,0.0,6.0,16.9,22.1,5.03
2015-11-06,0.0,4.8,19.8,30.39,4.09
2015-11-07,0.0,5.9,20.2,30.12,5.15
2015-11-08,0.0,6.3,18.2,28.12,5.48
2015-11-09,0.0,8.4,20.6,20.23,4.22
2015-11-10,0.0,12.1,20.3,24.52,4.79
2015-11-11,0.0,11.0,17.7,20.81,7.17
2015-11-12,2.4,7.8,15.7,14.96,5.44
2015-11-13,0.0,3.3,16.9,27.46,4.22
2015-11-14,0.0,3.7,16.9,28.82,6.1
2015-11-15,5.6,11.0,17.6,10.77,7.31
2015-11-16,14.4,12.0,17.1,4.68,5.0
2015-11-17,0.0,9.3,16.6,20.64,8.82
2015-11-18,0.0,11.3,18.3,23.55,6.44
2015-11-19,0.3,10.0,16.2,13.22,5.01
2015-11-20,6.2,11.4,17.3,12.23,7.86
2015-11-21,23.6,12.9,16.0,10.97,9.54
2015-11-22,5.8,12.0,17.9,24.86,10.02
2015-11-23,0.0,9.2,17.7,31.97,5.82
2015-11-24,0.0,8.9,18.2,26.61,4.12
2015-11-25,0.0,9.1,21.0,28.31,3.01
2015-11-26,0.4,13.8,22.8,23.9,3.9
2015-11-27,7.1,15.0,22.6,20.47,6.22
2015-11-28,5.5,12.1,20.2,12.58,6.4
2015-11-29,0.0,8.5,21.4,32.4,2.94
2015-11-30,2.2,12.1,19.9,11.67,5.55
2015-12-01,1.0,14.8,18.8,10.89,5.77
2015-12-02,0.0,13.7,19.3,13.99,3.68
2015-12-03,0.0,13.6,20.8,19.6,3.67
2015-12-04,0.1,13.3,20.2,18.46,4.96
2015-12-05,0.0,11.3,17.5,21.7,7.21
2015-12-06,0.2,13.3,18.5,17.45,6.84
2015-12-07,5.3,13.0,18.0,22.94,6.74
2015-12-08,0.0,11.9,16.5,19.74,8.36
2015-12-09,0.0,10.7,18.8,22.62,5.38
2015-12-10,0.0,10.5,17.2,21.66,7.92
2015-12-11,0.6,15.7,21.1,20.46,5.94
2015-12-12,1.5,16.0,21.9,21.15,7.81
2015-12-13,4.2,12.8,19.0,24.0,8.68
2015-12-14,0.0,11.0,17.0,18.19,5.73
2015-12-15,0.0,11.4,18.2,19.01,6.85
2015-12-16,2.4,11.5,18.4,19.73,6.41
2015-12-17,0.3,9.7,17.9,27.69,4.58
2015-12-18,0.0,9.2,19.3,25.93,5.99
2015-12-19,0.0,9.3,23.0,31.65,7.22
2015-12-20,0.0,9.3,22.0,31.95,7.02
2015-12-21,0.0,13.5,20.9,28.43,7.38
2015-12-22,0.0,14.8,22.0,26.69,8.28
2015-12-23,5.2,14.4,22.1,23.15,6.44
2015-12-24,8.9,14.1,18.6,9.87,7.28
2015-12-25,6.0,13.9,21.7,17.06,4.19
2015-12-26,0.0,10.8,23.6,26.63,5.3
2015-12-27,0.0,12.8,25.1,28.87,5.91
2015-12-28,0.0,16.1,24.6,23.45,5.86
2015-12-29,0.0,13.5,22.5,32.02,7.45
2015-12-30,0.3,13.5,23.9,23.35,3.61
2015-12-31,0.0,13.7,25.3,28.4,6.27
2016-01-01,3.9,17.1,19.7,10.9,9.36
2016-01-02,18.3,17.4,18.5,5.49,7.17
2016-01-03,7.3,17.8,23.0,17.13,6.85
2016-01-04,1.0,13.3,21.4,18.78,6.52
2016-01-05,0.0,11.1,19.6,21.92,3.86
2016-01-06,0.0,12.7,20.7,27.5,5.32
2016-01-07,0.0,13.1,20.2,14.97,5.5
2016-01-08,8.3,16.0,22.0,7.42,8.39
2016-01-09,0.8,14.7,21.5,30.31,6.69
2016-01-10,0.3,14.6,20.8,19.56,7.97
2016-01-11,0.2,11.5,20.8,13.39,7.17
2016-01-12,2.2,14.5,21.9,16.07,4.16
2016-01-13,0.0,10.6,22.7,31.41,7.02
2016-01-14,0.2,15.4,22.8,16.95,3.85
2016-01-15,0.0,14.0,22.9,22.18,5.22
2016-01-16,0.0,13.1,25.2,28.75,2.84
2016-01-17,3.5,13.1,25.6,21.96,4.92
2016-01-18,17.3,18.6,24.4,16.9,9.57
2016-01-19,7.9,17.3,23.6,22.29,7.31
2016-01-20,0.0,15.7,24.6,23.84,3.06
2016-01-21,0.0,13.3,24.0,27.5,4.39
2016-01-22,0.0,14.3,24.0,28.69,4.16
2016-01-23,0.0,13.8,25.9,29.6,4.83
2016-01-24,0.0,14.6,28.1,30.27,3.54
2016-01-25,0.1,15.2,27.4,23.41,2.56
2016-01-26,0.5,17.4,27.4,19.34,2.19
2016-01-27,13.2,20.6,25.6,15.85,4.34
2016-01-28,0.0,18.2,26.0,24.39,4.87
2016-01-29,0.0,17.5,25.9,25.56,4.37
2016-01-30,0.1,17.6,26.0,26.63,4.39
2016-01-31,7.9,17.4,24.0,18.66,3.85
2016-02-01,1.9,18.5,22.7,12.94,3.98
2016-02-02,1.6,18.4,24.6,18.98,4.25
2016-02-03,0.2,15.4,25.8,22.93,4.81
2016-02-04,0.0,16.3,23.4,16.74,5.17
2016-02-05,7.6,16.9,23.6,9.32,5.17
2016-02-06,3.1,19.0,23.6,8.77,6.91
2016-02-07,0.4,19.2,25.2,19.15,6.52
2016-02-08,1.2,18.5,24.1,14.81,3.28
2016-02-09,0.3,18.0,22.7,10.71,4.25
2016-02-10,0.4,16.8,25.5,20.26,3.76
2016-02-11,0.6,16.2,25.4,20.22,3.41
2016-02-12,0.0,17.0,27.0,27.48,4.62
2016-02-13,0.9,14.5,25.8,20.2,2.97
2016-02-14,0.0,16.9,24.8,19.74,6.28
2016-02-15,0.0,15.5,24.6,16.68,6.31
2016-02-16,0.7,18.4,23.8,16.96,6.02
2016-02-17,16.4,18.5,21.3,5.5,7.34
2016-02-18,28.1,18.5,22.7,6.03,8.63
2016-02-19,1.9,16.1,22.5,19.82,7.47
2016-02-20,0.0,14.3,22.3,17.93,5.24
2016-02-21,0.0,14.2,23.2,17.05,6.39
2016-02-22,0.0,13.4,24.1,20.49,3.94
2016-02-23,0.2,16.4,23.3,15.22,4.18
2016-02-24,0.0,12.5,22.4,22.88,4.61
2016-02-25,0.0,11.5,23.5,24.43,5.13
2016-02-26,0.0,13.8,24.9,24.22,4.04
2016-02-27,3.1,13.9,25.4,14.39,4.16
2016-02-28,5.6,19.5,26.5,18.01,3.34
2016-02-29,24.8,18.6,21.7,2.92,4.26
2016-03-01,7.0,17.2,20.4,8.03,4.33
2016-03-02,0.2,15.0,21.8,18.53,4.39
2016-03-03,0.0,11.8,21.6,21.14,3.21
2016-03-04,0.4,11.3,22.2,16.74,2.78
2016-03-05,0.1,12.2,22.9,19.08,4.52
2016-03-06,0.0,13.3,22.4,16.14,5.78
2016-03-07,0.3,16.6,22.8,14.37,7.55
2016-03-08,0.0,18.0,23.1,20.11,8.01
2016-03-09,0.0,14.9,22.7,24.35,4.33
2016-03-10,0.0,11.8,20.7,20.37,6.79
2016-03-11,0.6,14.3,23.4,19.27,5.9
2016-03-12,0.0,8.9,20.4,23.93,4.83
2016-03-13,0.0,11.1,21.7,17.48,4.7
2016-03-14,0.0,13.2,21.4,12.11,3.0
2016-03-15,0.1,13.6,22.6,13.8,4.9
2016-03-16,2.8,16.4,24.0,16.81,4.39
2016-03-17,1.2,16.6,20.8,9.74,5.43
2016-03-18,4.4,17.0,20.9,9.39,5.92
2016-03-19,0.0,16.3,21.3,13.59,6.86
2016-03-20,0.3,16.0,22.2,13.19,6.45
2016-03-21,0.1,15.9,23.4,13.54,6.26
2016-03-22,0.0,17.2,23.2,16.39,8.01
2016-03-23,1.3,18.6,22.4,6.93,10.57
2016-03-24,23.5,17.2,21.8,4.33,10.58
2016-03-25,0.8,16.5,24.0,12.66,2.73
2016-03-26,0.5,14.9,22.7,14.29,2.75
2016-03-27,0.0,14.5,22.0,15.36,4.54
2016-03-28,0.0,14.2,21.9,14.15,4.97
2016-03-29,0.0,10.9,21.8,19.83,4.03
2016-03-30,0.0,12.0,22.0,19.04,2.92
2016-03-31,0.0,9.0,20.9,15.7,3.33
2016-04-01,2.0,13.7,20.9,10.17,6.41
2016-04-02,10.3,16.4,22.4,8.41,3.98
2016-04-03,1.2,16.6,22.1,13.2,4.2
2016-04-04,0.0,13.7,20.3,12.68,5.56
2016-04-05,0.6,12.9,18.3,13.79,3.88
2016-04-06,0.0,7.5,18.6,18.14,2.82
2016-04-07,0.1,7.9,19.7,11.35,4.15
2016-04-08,1.2,13.6,20.2,7.95,4.36
2016-04-09,0.0,11.8,20.3,11.12,2.47
2016-04-10,2.6,12.9,19.6,9.53,3.54
2016-04-11,0.0,12.6,20.7,10.25,4.08
2016-04-12,10.8,12.8,20.4,9.21,6.24
2016-04-13,6.2,13.9,18.1,10.61,4.39
2016-04-14,0.0,9.9,18.5,17.27,3.48
2016-04-15,0.0,5.7,18.4,14.46,2.35
2016-04-16,0.0,6.3,18.5,10.64,4.47
2016-04-17,10.2,10.8,17.5,4.88,5.28
2016-04-18,0.3,14.3,20.9,13.42,4.74
2016-04-19,0.0,10.9,19.4,12.18,3.04
2016-04-20,0.0,11.4,18.9,13.22,3.32
2016-04-21,0.0,6.2,19.5,11.2,3.0
2016-04-22,0.0,12.1,18.8,10.57,2.72
2016-04-23,0.2,8.3,19.6,10.26,3.72
2016-04-24,3.8,10.2,17.5,6.77,4.69
2016-04-25,0.0,9.6,19.2,11.56,6.49
2016-04-26,0.0,10.0,18.6,11.73,7.89
2016-04-27,0.0,5.8,18.6,10.4,3.48
2016-04-28,0.0,9.2,17.4,9.32,4.25
2016-04-29,0.0,11.0,16.4,7.15,6.26
2016-04-30,0.0,10.6,19.6,13.72,4.0
2016-05-01,0.2,9.1,19.6,9.23,3.71
2016-05-02,0.9,11.3,19.0,8.94,4.46
2016-05-03,0.0,11.0,20.8,9.66,3.91
2016-05-04,0.0,10.7,20.3,9.7,2.47
2016-05-05,4.8,13.8,20.8,6.05,5.59
2016-05-06,0.0,12.8,19.6,8.54,2.11
2016-05-07,0.0,9.8,18.5,10.85,2.51
2016-05-08,0.0,8.6,17.2,7.57,1.56
2016-05-09,0.0,8.5,19.0,11.49,3.26
2016-05-10,0.0,7.8,19.0,7.49,2.98
2016-05-11,2.1,11.0,20.0,3.09,6.06
2016-05-12,1.6,14.7,19.4,8.32,6.83
2016-05-13,1.3,15.0,19.8,7.94,9.07
2016-05-14,0.3,13.8,19.0,10.63,5.78
2016-05-15,0.0,11.7,19.0,7.98,3.98
2016-05-16,7.5,12.7,18.6,7.41,8.57
2016-05-17,1.9,9.1,16.1,10.66,8.34
2016-05-18,6.3,7.9,16.8,6.07,8.59
2016-05-19,0.0,13.1,17.0,8.79,8.71
2016-05-20,6.0,11.5,18.5,8.62,7.61
2016-05-21,6.9,10.1,15.8,7.65,6.99
2016-05-22,0.1,6.6,15.6,7.85,7.56
2016-05-23,4.7,6.5,13.7,7.1,7.32
2016-05-24,16.9,10.7,17.0,5.68,8.49
2016-05-25,12.3,12.0,15.2,5.31,7.86
2016-05-26,3.1,11.0,15.8,7.9,7.06
2016-05-27,0.4,11.3,16.0,5.32,5.3
2016-05-28,12.5,13.6,18.2,7.33,9.42
2016-05-29,12.4,11.5,16.7,5.26,11.39
2016-05-30,2.9,10.2,14.2,7.18,7.38
2016-05-31,5.6,6.3,13.1,7.52,7.06
2016-06-01,0.2,4.9,12.8,9.28,3.47
2016-06-02,0.0,2.9,13.3,10.38,3.78
2016-06-03,0.0,-0.5,12.2,9.74,2.05
2016-06-04,0.0,-1.2,12.4,8.89,1.7
2016-06-05,0.0,-1.2,12.5,9.86,2.48
2016-06-06,0.0,-1.7,13.2,9.2,3.26
2016-06-07,0.0,5.6,13.5,8.05,5.61
2016-06-08,0.0,9.6,16.4,6.78,7.22
2016-06-09,0.3,13.7,17.9,5.81,7.46
2016-06-10,3.6,14.0,18.6,3.19,7.03
2016-06-11,0.0,9.8,16.5,7.72,4.79
2016-06-12,3.2,9.6,16.5,5.2,7.44
2016-06-13,0.0,5.2,12.2,9.39,6.82
2016-06-14,0.0,2.9,14.9,6.77,3.36
2016-06-15,0.0,9.1,15.3,6.55,5.99
2016-06-16,0.0,8.5,15.4,7.35,4.06
2016-06-17,0.0,4.7,14.1,5.63,1.91
2016-06-18,0.0,8.2,13.9,5.48,5.19
2016-06-19,0.0,7.6,15.8,7.36,6.6
2016-06-20,0.0,4.3,15.8,7.91,2.51
2016-06-21,0.0,10.0,16.4,4.0,6.53
2016-06-22,9.5,13.9,17.1,1.91,6.46
2016-06-23,16.3,13.0,16.0,4.33,8.22
2016-06-24,1.1,10.3,15.3,7.02,7.31
2016-06-25,14.4,7.0,14.3,2.33,7.0
2016-06-26,9.3,10.2,14.5,5.56,7.62
2016-06-27,8.4,9.8,14.8,3.86,9.6
2016-06-28,0.1,8.3,15.3,6.86,5.91
2016-06-29,22.1,8.0,12.1,1.43,7.09
2016-06-30,0.7,8.2,13.7,5.06,5.35
2016-07-01,0.0,2.2,11.4,9.78,4.18
2016-07-02,0.0,-3.2,11.0,9.89,3.49
2016-07-03,0.0,-2.2,9.8,9.32,2.91
2016-07-04,0.0,-1.5,12.6,9.61,2.34
2016-07-05,0.0,3.1,15.0,7.54,4.26
2016-07-06,0.0,3.8,10.4,5.04,1.8
2016-07-07,6.2,5.8,12.5,3.95,8.7
2016-07-08,12.7,11.7,13.9,2.54,8.31
2016-07-09,0.8,6.8,12.4,7.49,7.49
2016-07-10,0.0,6.0,13.2,7.52,5.81
2016-07-11,0.0,4.5,13.1,10.03,4.66
2016-07-12,0.0,1.4,13.2,10.12,2.91
2016-07-13,4.2,0.1,13.2,6.81,5.91
2016-07-14,15.6,10.4,13.1,7.86,10.16
2016-07-15,9.9,9.6,14.6,7.22,10.0
2016-07-16,0.0,8.6,12.9,8.76,8.62
2016-07-17,5.3,9.8,13.2,7.65,8.68
2016-07-18,0.0,5.2,13.7,9.42,7.22
2016-07-19,7.6,6.0,14.1,5.68,11.02
2016-07-20,1.0,10.1,13.7,8.57,10.21
2016-07-21,0.0,7.9,13.3,8.34,7.92
2016-07-22,3.8,2.7,13.2,7.96,4.24
2016-07-23,10.5,10.9,16.0,4.85,8.43
2016-07-24,10.1,10.8,16.2,7.75,12.11
2016-07-25,0.7,7.0,13.1,6.94,8.6
2016-07-26,6.2,5.6,12.6,5.16,3.28
2016-07-27,0.1,4.9,15.0,8.93,7.14
2016-07-28,15.6,9.4,13.5,2.94,10.92
2016-07-29,5.1,9.4,12.4,8.54,12.42
2016-07-30,7.7,8.5,14.3,6.67,9.49
2016-07-31,5.0,8.1,10.5,8.96,9.9
2016-08-01,5.1,8.2,13.9,7.72,6.58
2016-08-02,0.8,5.8,14.0,12.19,4.83
2016-08-03,7.3,7.7,15.0,5.26,8.94
2016-08-04,3.9,8.9,13.5,3.99,4.39
2016-08-05,9.1,6.0,13.2,7.63,4.55
2016-08-06,2.9,4.4,8.7,6.71,7.84
2016-08-07,0.1,3.3,10.6,12.62,6.3
2016-08-08,0.0,0.9,9.8,13.3,2.77
2016-08-09,0.0,0.2,11.5,12.92,4.64
2016-08-10,2.4,5.1,10.8,5.85,6.91
2016-08-11,3.2,6.6,11.9,5.89,5.58
2016-08-12,0.6,2.4,15.1,11.47,5.04
2016-08-13,3.4,7.1,14.1,8.08,5.66
2016-08-14,0.0,6.2,13.5,10.88,5.33
2016-08-15,0.0,1.4,13.5,11.83,2.85
2016-08-16,0.0,1.6,15.1,14.15,2.7
2016-08-17,0.0,1.3,13.9,12.97,3.04
2016-08-18,0.0,2.0,13.6,11.71,2.56
2016-08-19,0.0,1.9,13.4,12.65,3.0
2016-08-20,0.0,3.7,14.3,12.48,2.97
2016-08-21,0.0,2.8,14.2,12.83,3.78
2016-08-22,1.0,3.5,14.6,10.05,5.11
2016-08-23,0.0,5.8,14.9,12.36,4.99
2016-08-24,22.3,4.3,12.5,5.93,6.06
2016-08-25,24.8,10.2,14.3,1.82,6.61
2016-08-26,5.9,12.7,17.6,8.28,11.73
2016-08-27,0.5,10.1,13.5,13.24,11.21
2016-08-28,0.0,7.6,14.7,13.0,4.38
2016-08-29,0.8,3.4,12.6,4.62,6.12
2016-08-30,0.0,7.6,15.9,14.48,4.74
2016-08-31,0.0,4.1,16.0,12.45,2.73
2016-09-01,0.1,3.3,13.7,8.9,3.77
2016-09-02,0.6,6.8,16.1,11.32,6.64
2016-09-03,1.2,11.0,16.0,9.11,6.94
2016-09-04,9.3,11.2,17.5,8.31,6.26
2016-09-05,1.9,11.8,14.7,13.55,10.1
2016-09-06,0.0,7.4,15.0,13.49,7.57
2016-09-07,1.3,4.7,14.4,9.73,9.8
2016-09-08,2.1,4.0,9.5,11.76,7.43
2016-09-09,0.1,3.6,11.4,14.24,6.44
2016-09-10,0.0,5.1,14.5,15.32,6.26
2016-09-11,0.0,0.3,14.6,18.08,2.93
2016-09-12,0.0,2.1,13.4,10.68,3.64
2016-09-13,0.2,5.5,15.8,15.42,5.48
2016-09-14,1.5,11.1,16.2,12.05,5.2
2016-09-15,11.9,12.2,15.2,5.89,5.02
2016-09-16,1.7,13.0,17.5,7.69,4.75
2016-09-17,16.8,13.3,15.8,3.22,7.45
2016-09-18,6.1,11.9,16.4,7.79,6.89
2016-09-19,0.0,9.4,16.3,18.06,5.24
2016-09-20,1.6,7.8,14.8,11.07,5.52
2016-09-21,21.3,9.3,11.9,3.78,6.74
2016-09-22,6.0,8.9,14.4,7.8,5.28
2016-09-23,3.1,10.1,17.0,12.65,3.8
2016-09-24,8.4,10.0,17.2,12.45,6.08
2016-09-25,12.7,11.6,14.2,6.6,9.5
2016-09-26,4.6,10.7,16.0,10.74,6.81
2016-09-27,2.7,12.6,16.5,11.07,7.22
2016-09-28,6.3,9.0,17.0,11.12,3.85
2016-09-29,6.3,12.0,15.2,9.2,6.09
2016-09-30,3.4,11.8,15.8,11.66,6.08
2016-10-01,5.8,12.1,17.3,11.78,4.65
2016-10-02,7.5,11.0,18.3,10.29,5.85
2016-10-03,9.6,9.7,16.5,16.01,4.47
2016-10-04,3.3,9.8,17.1,15.47,5.81
2016-10-05,9.8,12.0,16.4,18.91,9.83
2016-10-06,19.0,10.5,14.8,12.52,9.3
2016-10-07,9.0,8.7,15.1,18.63,7.02
2016-10-08,0.0,7.2,16.7,21.06,7.94
2016-10-09,2.5,10.9,15.6,12.82,7.7
2016-10-10,0.0,10.0,15.5,9.23,4.75
2016-10-11,0.7,10.6,19.6,16.55,5.48
2016-10-12,1.4,10.0,17.8,14.04,6.66
2016-10-13,0.0,6.9,16.3,22.05,4.9
2016-10-14,10.7,6.0,16.1,13.45,7.06
2016-10-15,4.6,7.5,15.0,19.75,7.96
2016-10-16,0.0,6.9,15.6,16.69,8.29
2016-10-17,0.0,11.1,17.5,23.38,8.11
2016-10-18,0.0,10.0,16.7,21.77,6.23
2016-10-19,0.0,8.2,17.5,9.68,6.2
2016-10-20,2.9,11.6,17.7,8.47,5.92
2016-10-21,0.0,9.8,15.9,23.93,6.14
2016-10-22,2.2,8.0,16.7,21.73,6.35
2016-10-23,0.0,4.1,18.8,22.17,3.76
2016-10-24,0.0,8.5,18.7,17.35,4.94
2016-10-25,5.2,12.6,17.2,7.47,6.54
2016-10-26,3.9,12.1,17.5,21.03,9.19
2016-10-27,0.0,10.6,17.0,22.33,6.11
2016-10-28,1.0,9.7,17.4,18.8,5.86
2016-10-29,0.0,9.0,15.8,25.68,7.36
2016-10-30,0.3,5.3,15.4,25.67,4.7
2016-10-31,0.1,4.3,15.1,24.33,2.6
2016-11-01,1.3,5.1,16.2,22.98,5.46
2016-11-02,6.1,10.8,16.9,19.66,8.25
2016-11-03,0.0,8.6,16.7,23.12,7.09
2016-11-04,0.1,10.6,15.0,21.34,9.13
2016-11-05,0.8,10.4,17.4,19.63,6.83
2016-11-06,11.0,12.0,19.8,22.01,7.42
2016-11-07,44.9,12.3,16.4,11.69,8.79
2016-11-08,0.1,11.6,18.0,25.49,11.24
2016-11-09,0.0,10.6,19.6,27.27,7.05
2016-11-10,0.0,12.6,19.4,22.61,5.61
2016-11-11,2.5,13.9,19.6,14.88,6.6
2016-11-12,11.3,12.6,16.3,9.5,8.12
2016-11-13,0.0,10.2,16.4,23.18,7.2
2016-11-14,1.6,8.0,19.6,18.4,5.68
2016-11-15,13.3,15.2,18.2,4.02,7.73
2016-11-16,4.0,13.4,17.1,23.63,9.34
2016-11-17,16.0,9.8,15.0,23.5,8.74
2016-11-18,0.3,8.5,17.0,28.71,7.16
2016-11-19,2.2,12.5,18.5,16.55,9.43
2016-11-20,0.0,11.8,17.0,28.2,10.18
2016-11-21,0.0,10.3,17.7,28.8,8.05
2016-11-22,0.0,8.8,19.5,31.53,5.68
2016-11-23,0.0,9.6,19.6,31.01,6.0
2016-11-24,0.0,11.1,20.4,28.52,3.31
